Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Hillingdon - West Drayton,00ASHB,E05000342,15250,3600,23.5,3.5,4257.1,10.0,22.7,6519,69.0,249997.0,266,32680.0,5613,9.3,34.1,24.1,31.2,51.3,26.4,18.5,7.1,88.4,4.5,16.5,12.7,5.5,1.9,23.0,7.4,48.5,224.0,100.0,293.3,1.6,24.3,81.5,31.9,1.1
Hillingdon - West Ruislip,00ASHC,E05000343,11600,2150,18.6,4.4,2545.5,5.9,12.7,5421,78.2,335000.0,221,43470.0,4798,24.5,23.0,19.7,32.8,68.4,11.0,18.7,3.8,68.2,28.0,7.9,6.9,2.7,1.2,8.0,2.2,29.3,541.0,0.0,340.5,0.6,16.3,65.4,49.5,1.3
Hillingdon - Yeading,00ASHD,E05000344,14250,3800,26.8,2.3,6087.0,10.4,23.7,5981,66.1,250000.0,139,33240.0,4853,9.2,31.2,29.5,29.9,54.8,21.8,19.4,10.4,86.4,3.3,12.8,13.9,4.7,3.0,17.5,8.9,49.1,234.0,100.0,314.5,1.2,19.8,76.4,33.4,1.1
Hillingdon - Yiewsley,00ASHE,E05000345,13750,3150,22.7,4.0,3362.5,11.0,24.5,6051,68.2,225000.0,159,32340.0,5181,4.3,34.2,24.7,36.5,47.6,27.3,21.8,12.1,87.3,0.5,14.9,14.1,5.4,2.2,20.6,7.7,49.5,239.0,100.0,289.7,1.5,23.7,110.1,41.3,1.0
Hounslow - Bedfont,00ATFY,E05000346,12950,2950,22.8,4.4,2965.9,11.7,28.3,6105,72.2,229000.0,168,31870.0,5046,4.5,41.8,20.4,33.3,48.2,26.9,16.4,9.8,89.1,1.2,14.5,12.0,4.8,2.7,19.6,6.6,49.0,302.0,85.7,313.5,1.4,24.0,65.0,52.5,1.1
Hounslow - Brentford,00ATFZ,E05000347,15800,2950,18.5,3.2,4828.1,12.6,22.6,7043,68.0,370000.0,335,35040.0,6116,2.5,13.7,23.9,59.6,38.0,37.7,18.5,18.2,75.0,6.8,14.6,13.5,4.5,2.7,19.6,5.9,48.9,287.0,71.4,330.8,1.0,17.2,80.0,42.8,0.8
Hounslow - Chiswick Homefields,00ATGA,E05000348,11650,2200,18.8,2.3,5087.0,6.7,16.9,6077,76.1,772500.0,174,51830.0,5051,3.4,18.9,25.1,52.3,53.9,16.4,27.9,2.0,51.3,46.6,6.6,6.2,2.6,1.3,9.6,2.8,42.1,500.0,14.3,345.5,0.6,9.3,83.5,42.2,0.9
Hounslow - Chiswick Riverside,00ATGB,E05000349,11700,2300,19.7,2.1,5642.9,6.6,13.3,6201,77.4,650000.0,205,49680.0,5289,4.9,18.4,22.2,54.5,55.8,18.5,24.2,3.3,54.4,42.3,8.5,8.7,3.4,1.7,7.5,2.9,39.6,461.0,28.6,355.5,0.6,9.2,62.2,35.2,1.0
Hounslow - Cranford,00ATGC,E05000350,12750,2800,22.2,2.7,4722.2,12.7,26.6,5548,65.6,226500.0,76,30860.0,4006,6.3,31.6,27.7,34.5,43.8,29.1,24.7,20.3,78.4,1.4,14.0,12.2,5.2,2.7,17.8,7.4,51.6,251.0,100.0,314.6,1.3,20.2,74.4,26.4,1.0
Hounslow - Feltham North,00ATGD,E05000351,11850,2400,20.3,3.4,3514.7,12.7,25.9,5500,71.6,270000.0,107,32850.0,4310,5.5,40.0,26.4,27.8,59.1,22.3,16.0,10.4,89.1,0.5,13.9,10.8,4.6,2.1,18.9,5.5,44.8,291.0,100.0,318.9,1.3,26.1,77.4,37.0,1.1
Hounslow - Feltham West,00ATGE,E05000352,15800,3950,25.0,3.2,4968.8,14.5,24.2,7666,71.8,225000.0,235,34010.0,5895,3.1,25.8,30.9,40.1,45.7,27.2,20.7,11.4,88.6,0.0,12.5,10.9,4.3,2.1,15.9,7.3,47.9,312.0,87.5,309.4,1.3,20.5,69.8,41.4,1.0
Hounslow - Hanworth,00ATGF,E05000353,12400,2900,23.6,3.3,3787.9,13.1,27.1,5265,66.9,250000.0,123,31150.0,4733,3.8,29.0,29.4,37.8,47.5,38.6,11.3,14.8,84.5,0.6,17.3,15.0,6.3,2.8,22.5,8.7,52.8,163.0,100.0,292.8,1.5,26.4,72.9,45.6,1.0
Hounslow - Hanworth Park,00ATGG,E05000354,12250,2600,21.1,3.6,3347.2,14.0,25.7,5614,72.9,250000.0,135,34340.0,4576,6.9,34.1,25.5,33.3,61.1,21.3,14.0,8.4,88.1,3.5,12.0,9.5,4.3,1.8,15.3,5.8,47.8,332.0,71.4,316.6,1.1,23.4,70.5,41.4,1.1
Hounslow - Heston Central,00ATGH,E05000355,12600,2650,21.0,1.7,7500.0,13.5,29.4,5584,66.6,348000.0,75,33580.0,3936,5.5,49.5,13.7,31.2,55.0,19.5,22.9,9.9,85.4,4.7,10.7,9.4,4.0,2.7,14.4,6.1,52.6,339.0,85.7,333.7,1.3,17.3,53.0,15.8,1.1
Hounslow - Heston East,00ATGJ,E05000356,12700,2600,20.4,2.0,6400.0,10.5,22.8,5745,67.5,248000.0,112,34030.0,4065,7.3,41.7,18.8,32.2,56.6,15.7,25.7,8.9,83.5,7.7,10.4,9.9,4.2,2.4,14.2,6.0,48.7,404.0,71.4,337.2,1.0,16.1,63.3,27.1,1.2
Hounslow - Heston West,00ATGK,E05000357,12750,2900,22.9,3.8,3381.6,9.0,24.6,5161,62.2,280000.0,61,29490.0,4071,4.4,35.1,21.2,38.8,46.4,33.7,17.3,20.3,78.9,0.7,14.0,13.3,5.3,3.4,18.0,9.2,57.4,273.0,71.4,323.2,1.2,21.8,100.3,39.1,1.1
Hounslow - Hounslow Central,00ATGL,E05000358,16200,3300,20.3,1.7,9441.2,11.8,22.2,7795,71.4,249950.0,125,35830.0,5519,4.9,26.8,17.1,51.1,38.3,16.9,38.7,16.3,80.2,3.5,7.0,10.2,3.4,2.0,11.8,4.2,42.8,446.0,57.1,345.0,1.1,12.8,166.8,11.1,0.7
Hounslow - Hounslow Heath,00ATGM,E05000359,15250,3700,24.3,2.8,5446.4,10.8,24.7,6878,67.6,249950.0,121,32530.0,5029,5.8,30.6,22.9,40.4,44.7,20.0,31.9,12.8,85.2,2.0,11.1,12.9,4.2,3.0,14.3,7.7,54.8,351.0,100.0,340.2,1.3,15.7,64.0,48.6,0.9
Hounslow - Hounslow South,00ATGN,E05000360,11700,2200,19.0,1.8,6555.6,9.3,16.6,5767,74.1,375000.0,107,39920.0,4008,5.6,54.5,24.5,15.3,74.0,5.1,19.2,6.6,91.2,2.2,7.4,4.9,2.5,1.9,6.0,2.5,30.5,536.0,0.0,342.9,1.1,15.7,41.4,17.9,1.3
Hounslow - Hounslow West,00ATGP,E05000361,13750,2650,19.2,1.6,8437.5,10.7,27.4,6288,69.6,270000.0,71,31890.0,4023,6.3,38.7,20.2,34.7,47.0,18.9,30.1,13.8,83.3,2.9,10.4,10.2,3.8,2.1,11.7,4.5,53.2,353.0,100.0,331.1,1.2,16.3,92.1,10.2,0.9
Hounslow - Isleworth,00ATGQ,E05000362,12150,2700,22.3,2.0,6125.0,10.7,20.7,5827,70.6,301000.0,189,34790.0,4987,2.5,17.9,28.8,50.7,44.3,34.1,18.6,16.7,78.9,4.3,14.3,13.8,5.7,2.8,21.5,7.0,52.4,281.0,57.1,315.8,1.2,19.9,69.5,22.6,0.9
Hounslow - Osterley and Spring Grove,00ATGR,E05000363,13350,2600,19.3,6.3,2134.9,8.4,15.8,6844,75.3,345500.0,182,42140.0,4897,8.8,39.4,9.7,42.0,61.8,6.9,28.3,4.6,65.7,29.7,6.9,5.5,2.5,1.3,7.3,3.4,42.7,498.0,28.6,367.0,0.9,10.8,73.2,54.3,1.2
Hounslow - Syon,00ATGS,E05000364,14200,2950,20.7,2.9,4862.1,9.7,23.6,7063,73.0,365000.0,387,37040.0,5982,2.5,13.7,25.3,58.0,43.8,27.4,23.8,6.1,86.4,7.5,13.4,12.1,4.3,1.9,16.7,5.4,46.8,300.0,83.3,318.5,1.1,16.4,82.2,42.5,0.9
Hounslow - Turnham Green,00ATGT,E05000365,11800,1850,15.8,1.8,6583.3,7.3,15.7,6354,77.0,634000.0,201,47080.0,5735,3.1,11.8,21.7,63.4,49.4,14.7,34.0,2.7,65.1,32.2,9.1,7.4,3.0,1.4,10.0,2.5,46.9,455.0,42.9,343.6,1.0,9.9,95.0,7.4,0.8
Islington - Barnsbury,00AUFX,E05000366,12950,1950,15.0,0.8,15937.5,9.9,23.4,6292,68.1,715000.0,153,44970.0,5893,1.2,2.9,15.4,80.5,31.7,38.5,27.3,6.6,72.8,20.7,12.2,13.7,5.6,2.1,21.4,6.0,55.2,190.0,100.0,320.4,1.4,16.3,131.4,11.0,0.5
Islington - Bunhill,00AUFY,E05000367,16700,2200,13.1,1.1,14454.5,12.4,22.9,6889,59.8,640000.0,196,39200.0,7366,0.3,0.6,1.5,97.6,21.1,47.3,29.3,16.9,61.9,21.2,13.6,15.6,4.9,3.1,28.5,6.2,59.0,220.0,85.7,324.2,1.3,15.8,179.7,13.5,0.3
Islington - Caledonian,00AUFZ,E05000368,14950,2200,14.8,1.1,13227.3,13.0,21.9,6494,61.7,447500.0,142,35840.0,6407,1.3,3.1,13.5,81.6,22.6,44.7,29.8,9.0,82.2,8.8,17.0,16.9,6.3,3.4,30.6,7.2,55.2,92.0,100.0,312.0,1.6,21.0,138.8,16.4,0.4
Islington - Canonbury,00AUGA,E05000369,12500,2250,18.2,0.8,15437.5,9.1,22.7,6103,69.2,550000.0,131,40590.0,5875,1.2,5.6,10.6,82.5,27.8,47.2,22.0,6.3,79.3,14.5,18.7,18.1,7.8,2.8,30.6,8.1,58.9,62.0,100.0,310.4,1.8,19.2,80.2,14.4,0.4
Islington - Clerkenwell,00AUGB,E05000370,12350,1450,11.7,0.9,13444.4,12.9,22.5,5721,62.6,732500.0,142,43350.0,5733,0.8,1.0,7.7,90.4,29.0,42.3,26.5,21.1,57.3,21.7,13.5,14.9,6.0,2.4,25.3,4.8,57.2,225.0,85.7,300.6,1.6,15.1,154.3,9.3,0.4
Islington - Finsbury Park,00AUGC,E05000371,15300,2700,17.6,0.9,16555.6,11.8,27.2,6862,65.4,410000.0,153,33620.0,6493,1.5,2.3,13.5,82.6,22.6,43.4,31.9,15.8,75.2,9.0,20.0,20.7,8.0,4.3,30.6,8.5,56.1,40.0,100.0,309.8,1.3,20.6,161.3,15.9,0.3
Islington - Highbury East,00AUGD,E05000372,12150,2250,18.4,1.0,11950.0,6.3,15.7,6350,74.5,667500.0,194,47810.0,5391,1.4,3.3,21.5,73.8,41.1,31.1,26.1,5.3,67.5,27.2,11.8,12.1,4.9,2.2,15.5,4.3,49.0,215.0,100.0,343.0,1.0,13.4,98.2,21.6,0.5
Islington - Highbury West,00AUGE,E05000373,16400,2650,16.2,1.1,14363.6,11.4,17.7,8745,74.5,500000.0,431,43800.0,7376,1.1,2.6,17.5,78.9,29.4,33.5,33.2,8.4,76.5,15.1,15.3,13.5,5.1,2.5,21.4,5.4,52.3,152.0,100.0,322.6,0.9,12.6,88.5,10.6,0.4
Islington - Hillrise,00AUGF,E05000374,12350,2300,18.5,0.8,15125.0,7.7,19.6,5560,65.7,447500.0,118,39090.0,5209,1.3,3.4,18.8,76.6,32.9,45.3,20.1,15.1,71.2,13.7,20.0,18.2,7.4,3.8,24.4,8.4,60.2,108.0,100.0,315.8,1.3,17.9,74.0,18.3,0.5
Islington - Holloway,00AUGG,E05000375,16050,2400,15.1,1.0,15750.0,13.7,28.8,7305,63.9,405000.0,195,35430.0,6912,1.3,3.5,8.7,86.5,22.4,46.5,26.2,11.5,82.0,6.5,18.1,17.8,6.7,3.7,29.3,7.4,57.2,76.0,100.0,312.2,1.6,18.8,83.3,16.9,0.4
Islington - Junction,00AUGH,E05000376,12950,2000,15.4,1.0,12600.0,8.6,15.8,6085,68.4,452000.0,149,39470.0,5882,1.0,3.0,14.2,81.8,28.5,43.3,25.7,8.5,81.3,10.1,17.1,17.0,6.6,3.7,22.4,5.6,54.9,102.0,100.0,334.5,1.3,16.8,115.5,16.6,0.4
Islington - Mildmay,00AUGJ,E05000377,13500,2500,18.3,0.8,16625.0,13.9,24.4,6556,68.6,525000.0,167,39300.0,6064,1.1,2.9,11.5,84.4,27.4,47.0,23.3,6.8,82.9,10.3,17.5,18.3,7.1,2.8,27.6,8.7,61.4,85.0,100.0,329.6,1.1,17.4,92.3,10.6,0.4
Islington - St. George's,00AUGK,E05000378,13100,2100,16.2,0.8,16062.5,8.7,22.2,6282,67.8,495645.0,129,40860.0,5627,1.0,4.0,12.7,82.3,33.6,38.0,26.1,10.2,75.9,14.0,17.0,16.2,6.4,3.7,21.5,6.0,53.8,121.0,100.0,328.5,1.2,16.5,76.5,8.1,0.5
Islington - St. Mary's,00AUGL,E05000379,12500,1750,13.8,0.9,13500.0,11.4,21.8,6476,73.0,650000.0,116,46190.0,5959,1.1,2.9,15.5,80.5,27.0,41.5,29.7,1.8,78.2,20.0,14.3,14.8,6.5,2.6,28.4,5.0,52.2,139.0,100.0,331.1,1.4,15.5,192.2,9.6,0.4
Islington - St. Peter's,00AUGM,E05000380,13200,1950,14.9,0.8,15687.5,9.1,22.9,6277,70.4,667500.0,206,43870.0,5740,0.9,2.5,23.4,73.2,33.2,40.4,24.0,2.9,69.2,27.9,15.1,14.4,5.9,2.2,26.5,6.0,62.0,153.0,100.0,302.4,1.6,17.3,127.1,10.4,0.4
Islington - Tollington,00AUGN,E05000381,13900,2450,17.5,0.8,17062.5,9.1,24.1,6770,68.5,465000.0,157,38090.0,6269,1.5,3.5,16.5,78.5,29.0,41.9,26.9,8.7,83.9,7.3,18.7,19.4,8.2,4.0,26.3,7.1,51.3,90.0,100.0,325.6,1.1,17.3,86.4,13.3,0.4
Kensington and Chelsea - Abingdon,00AWFY,E05000382,10700,1750,16.2,0.6,16916.7,,,4823,66.2,1295000.0,303,54690.0,5399,1.2,3.4,13.0,82.4,41.5,9.4,45.2,4.5,29.5,65.9,5.1,6.1,2.1,1.0,4.4,3.3,50.3,451.0,33.3,357.0,1.3,6.3,83.2,5.9,0.6
Kensington and Chelsea - Brompton,00AWFZ,E05000383,8900,1250,14.2,1.0,8700.0,,,4465,69.2,1950000.0,151,64320.0,5840,1.0,1.8,13.2,83.9,34.0,12.3,47.6,2.5,17.7,79.8,3.4,4.5,1.7,0.9,5.0,1.7,46.3,477.0,16.7,355.6,0.9,6.6,185.5,10.8,0.6
Kensington and Chelsea - Campden,00AWGA,E05000384,8250,1400,16.9,0.9,8944.4,5.2,21.4,4206,71.6,1400000.0,157,65500.0,4550,1.9,4.0,19.6,74.4,47.7,7.0,39.8,0.0,22.8,77.2,3.6,4.1,1.7,0.7,2.2,1.6,49.4,519.0,0.0,291.1,0.5,4.5,124.7,27.8,0.7
Kensington and Chelsea - Colville,00AWGB,E05000385,8400,1200,14.4,0.4,20625.0,14.0,22.0,4457,69.9,935000.0,106,43560.0,4701,0.5,1.1,8.2,90.2,24.9,45.2,28.1,6.3,69.5,24.2,15.1,21.3,7.6,3.4,18.9,4.4,47.5,130.0,100.0,311.1,1.3,13.1,172.2,10.5,0.4
Kensington and Chelsea - Courtfield,00AWGC,E05000386,9100,1150,12.8,0.5,17700.0,,,4535,64.8,1325000.0,161,61810.0,5105,0.8,2.1,9.1,88.0,39.0,9.1,48.0,3.8,24.5,71.7,4.4,6.3,2.3,1.7,2.1,1.5,49.4,482.0,16.7,344.1,0.6,3.8,109.0,13.4,0.5
Kensington and Chelsea - Cremorne,00AWGD,E05000387,8250,1250,15.0,0.6,13250.0,11.0,21.1,3470,63.0,1050000.0,101,43920.0,4230,1.0,3.0,10.7,84.2,32.6,43.4,20.9,4.2,58.5,37.4,12.9,21.2,7.7,3.3,21.5,5.2,54.9,218.0,83.3,311.7,1.5,15.4,89.5,29.3,0.5
Kensington and Chelsea - Earl's Court,00AWGE,E05000388,9300,1150,12.1,0.5,18100.0,6.4,19.5,4973,68.5,783250.0,172,44100.0,5207,0.9,0.7,4.6,93.8,30.6,22.7,43.8,7.3,62.9,29.8,12.0,17.3,6.6,3.0,11.2,2.5,42.2,248.0,100.0,359.2,0.9,8.4,110.4,10.0,0.4
Kensington and Chelsea - Golborne,00AWGF,E05000389,9600,1650,17.4,0.9,10111.1,13.3,20.6,3768,59.3,533800.0,62,30100.0,4174,0.8,1.6,5.8,91.4,11.9,67.8,17.4,29.7,65.1,5.3,23.3,29.5,10.2,6.5,29.2,8.8,56.2,11.0,100.0,314.4,1.3,22.5,130.9,34.6,0.4
Kensington and Chelsea - Hans Town,00AWGG,E05000390,8850,1250,13.9,0.6,14416.7,,,4424,69.1,1587500.0,176,58100.0,6553,0.8,1.8,13.9,83.5,34.7,16.4,43.3,1.4,36.9,61.7,5.4,7.4,3.0,0.9,8.5,2.3,51.5,469.0,33.3,337.8,0.8,9.2,188.3,8.5,0.6
Kensington and Chelsea - Holland,00AWGH,E05000391,9850,1850,18.6,1.0,9600.0,12.0,16.0,4586,66.4,1375000.0,167,54770.0,4986,3.5,4.7,13.0,78.9,45.5,11.9,38.2,3.0,32.7,64.3,5.7,7.6,3.1,1.6,6.6,4.2,63.9,421.0,50.0,365.4,1.4,7.0,70.8,27.7,0.7
Kensington and Chelsea - Norland,00AWGJ,E05000392,8750,1600,18.3,0.7,12214.3,,23.0,3961,67.4,1343000.0,110,53430.0,4408,1.3,6.6,21.7,70.3,34.9,38.5,23.6,7.3,50.1,42.6,11.3,16.2,5.1,2.5,15.7,4.3,55.2,305.0,66.7,323.0,1.0,14.2,97.2,15.4,0.6
Kensington and Chelsea - Notting Barns,00AWGK,E05000393,9750,1850,19.1,0.6,15750.0,,23.9,4036,61.8,776000.0,55,36690.0,4237,1.0,3.6,11.3,83.8,24.2,55.8,16.5,17.9,66.5,15.6,19.6,25.6,8.0,4.2,28.6,8.5,55.5,64.0,100.0,330.4,1.1,19.4,99.3,9.3,0.5
Kensington and Chelsea - Pembridge,00AWGL,E05000394,7700,1100,14.0,0.5,15100.0,,,4288,74.8,1127500.0,124,55710.0,4418,2.0,3.9,11.1,82.9,40.6,12.7,43.0,6.7,38.7,54.6,5.6,8.4,3.0,1.5,5.2,2.2,49.6,413.0,60.0,385.6,0.5,6.2,177.9,11.9,0.5
Kensington and Chelsea - Queen's Gate,00AWGM,E05000395,9950,1500,14.8,0.6,16166.7,,,4971,66.3,1745000.0,192,63630.0,5645,1.2,4.1,9.4,85.3,41.5,4.0,48.6,2.3,16.9,80.8,1.8,2.7,0.8,0.8,1.2,1.5,45.8,534.0,0.0,376.8,0.6,3.8,88.0,5.8,0.6
Kensington and Chelsea - Redcliffe,00AWGN,E05000396,9300,1400,15.3,0.7,13000.0,,23.9,5131,74.3,995000.0,214,54550.0,5202,1.4,3.3,11.3,84.0,46.2,10.4,40.2,1.9,44.5,53.6,6.5,9.1,2.8,1.8,4.7,2.0,42.8,368.0,50.0,342.3,1.0,5.2,80.1,28.1,0.6
Kensington and Chelsea - Royal Hospital,00AWGP,E05000397,7350,1000,13.6,0.9,7944.4,,30.8,3539,72.8,1995000.0,137,60600.0,4166,1.1,2.6,19.3,77.0,45.3,13.6,35.8,1.6,24.2,74.1,4.9,6.3,2.3,1.4,6.7,1.9,49.5,492.0,20.0,366.2,1.5,9.0,117.9,43.1,0.8
Kensington and Chelsea - St. Charles,00AWGQ,E05000398,9600,1800,18.6,0.7,13285.7,,23.7,4126,63.4,642500.0,92,36100.0,4356,1.8,3.7,10.8,83.8,20.9,58.7,15.9,15.5,68.6,15.9,20.8,26.6,9.9,4.1,28.8,7.9,53.2,69.0,100.0,330.5,1.6,21.5,114.8,21.9,0.5
Kensington and Chelsea - Stanley,00AWGR,E05000399,8250,1300,15.5,0.7,11571.4,7.7,18.6,4239,73.0,1100000.0,165,54990.0,4528,2.0,6.8,18.8,72.5,45.5,13.1,38.3,1.1,35.9,63.0,4.5,6.7,2.0,1.0,6.9,2.3,48.5,481.0,20.0,344.5,1.1,7.3,118.7,9.1,0.7
Kingston upon Thames - Alexandra,00AXFX,E05000400,9700,1900,19.7,2.7,3537.0,7.6,20.6,4464,75.1,404975.0,136,41390.0,3443,9.3,56.3,21.5,12.0,80.2,4.9,13.3,4.0,79.4,16.6,5.5,5.1,3.1,1.0,6.3,2.7,31.2,590.0,0.0,353.3,0.4,15.8,34.7,43.7,1.4
Kingston upon Thames - Berrylands,00AXFY,E05000401,9800,1800,18.2,1.5,6466.7,4.6,8.6,4813,74.8,361125.0,172,42330.0,4447,10.5,25.7,9.0,54.7,54.6,17.4,26.9,8.9,70.4,20.7,7.3,9.8,4.2,1.4,6.8,2.3,36.9,530.0,16.7,342.7,0.5,11.9,31.6,10.9,1.0
Kingston upon Thames - Beverley,00AXFZ,E05000402,10450,2200,20.8,1.9,5447.4,6.5,13.1,4807,71.6,435000.0,167,40700.0,4047,9.6,33.7,26.3,30.4,63.7,11.5,22.1,5.5,76.4,18.1,7.2,8.8,3.6,1.8,9.2,4.1,43.4,544.0,16.7,372.3,0.7,15.2,64.5,26.4,1.0
Kingston upon Thames - Canbury,00AXGA,E05000403,13300,3100,23.4,1.2,10791.7,3.8,12.1,6529,74.9,449500.0,397,45600.0,5317,14.1,24.5,14.1,47.3,55.1,12.5,30.3,2.8,74.7,22.4,6.3,7.0,2.7,1.5,5.7,3.0,35.3,559.0,16.7,367.5,0.6,9.0,38.4,7.0,0.9
Kingston upon Thames - Chessington North and Hook,00AXGB,E05000404,9000,1800,20.1,1.9,4710.5,9.8,23.8,4334,76.4,310000.0,137,37230.0,3430,6.6,46.6,29.5,17.2,74.8,14.8,8.6,1.8,96.2,2.0,8.4,6.3,3.7,1.4,10.9,3.6,35.9,516.0,0.0,307.1,0.8,21.9,43.9,27.5,1.3
Kingston upon Thames - Chessington South,00AXGC,E05000405,10550,2200,20.9,7.6,1375.0,8.1,24.6,5291,78.5,315000.0,201,38310.0,4112,11.2,26.4,41.3,20.9,77.3,11.7,9.7,4.1,89.2,6.7,7.3,6.4,3.2,1.3,13.1,3.9,39.6,548.0,16.7,321.3,0.8,19.1,47.5,75.7,1.4
Kingston upon Thames - Coombe Hill,00AXGD,E05000406,10750,1950,18.3,4.4,2420.5,4.9,21.4,4458,64.5,480000.0,161,45650.0,3838,29.5,16.8,11.6,42.1,61.0,11.6,25.5,1.1,51.7,47.2,4.9,5.4,2.0,1.3,8.2,3.9,50.2,570.0,14.3,339.8,0.9,10.7,47.8,42.1,1.3
Kingston upon Thames - Coombe Vale,00AXGE,E05000407,10050,2100,20.6,1.6,6250.0,5.2,12.7,4619,72.4,480000.0,133,44320.0,3700,16.6,43.0,19.7,20.6,72.3,6.9,19.4,3.3,66.1,30.6,5.2,5.5,2.1,0.9,6.3,2.6,33.3,606.0,0.0,367.0,0.6,11.7,26.2,11.0,1.2
Kingston upon Thames - Grove,00AXGF,E05000408,11800,1950,16.8,1.9,6105.3,6.0,18.9,5683,66.8,400000.0,236,41410.0,5094,6.3,17.9,7.6,68.0,47.5,13.2,37.5,11.1,70.7,18.2,7.6,7.2,2.7,1.6,9.7,2.4,44.0,478.0,20.0,324.8,0.6,8.5,268.5,23.6,0.8
Kingston upon Thames - Norbiton,00AXGG,E05000409,10600,2150,20.1,1.3,8076.9,11.3,19.6,4973,68.2,341750.0,166,34650.0,4162,6.8,29.7,14.6,48.9,42.3,31.2,24.3,17.1,74.3,8.7,11.2,13.1,5.0,2.4,20.0,5.3,50.9,356.0,50.0,308.4,1.4,17.7,62.4,34.5,0.8
Kingston upon Thames - Old Malden,00AXGH,E05000410,9700,1850,19.0,1.8,5361.1,6.7,16.4,4501,74.0,395725.0,134,41760.0,3645,18.7,45.9,16.9,18.5,77.4,9.1,12.3,3.1,63.6,33.3,6.7,5.4,2.6,1.1,8.9,3.7,39.2,566.0,16.7,347.0,0.7,15.7,29.6,21.3,1.4
Kingston upon Thames - St. James,00AXGJ,E05000411,9250,1700,18.2,2.2,4181.8,5.9,14.8,4061,71.9,443567.5,112,41850.0,3392,23.4,40.4,20.0,16.3,75.3,9.3,14.0,0.9,69.4,29.7,6.7,6.3,2.7,1.1,7.3,2.7,29.5,550.0,0.0,355.0,0.5,15.9,33.8,28.2,1.3
Kingston upon Thames - St. Mark's,00AXGK,E05000412,10900,1350,12.2,1.4,7785.7,2.9,8.7,5872,69.4,395350.0,286,44930.0,4608,4.2,16.5,9.1,70.0,53.1,6.7,38.6,8.4,80.2,11.4,4.8,5.5,2.8,1.5,4.3,1.6,40.8,537.0,16.7,336.4,0.5,6.7,49.7,23.9,0.9
Kingston upon Thames - Surbiton Hill,00AXGL,E05000413,10950,1900,17.4,1.7,6352.9,4.2,9.8,5705,78.2,396770.0,237,43160.0,4776,16.2,18.8,7.3,57.7,60.5,7.5,30.7,4.3,74.7,21.0,5.2,5.4,2.6,1.1,9.3,2.3,39.3,568.0,0.0,361.6,0.6,10.7,29.6,5.8,1.0
Kingston upon Thames - Tolworth and Hook Rise,00AXGM,E05000414,10650,2150,20.1,2.6,3961.5,4.9,15.2,4993,76.2,337195.0,153,37840.0,3836,6.4,46.8,24.5,22.0,71.2,10.7,16.5,4.6,91.8,3.6,6.7,6.8,3.0,1.3,10.2,3.3,38.2,528.0,0.0,337.5,0.7,18.4,53.7,33.1,1.2
Kingston upon Thames - Tudor,00AXGN,E05000415,9850,2150,22.0,1.6,6125.0,3.3,11.6,4674,76.9,550000.0,151,48530.0,3846,17.1,33.9,24.0,25.0,76.5,7.5,14.2,0.5,66.6,32.9,5.4,3.8,2.0,0.9,5.4,2.0,28.0,616.0,0.0,378.9,0.5,10.1,33.1,22.7,1.2
Lambeth - Bishop's,00AYFZ,E05000416,11400,1250,10.9,1.5,7066.7,15.6,22.2,5119,66.2,590000.0,97,40360.0,4927,0.5,1.6,8.6,89.2,21.0,41.8,33.9,26.2,44.2,29.6,10.9,12.0,3.6,2.6,17.9,3.8,47.0,235.0,83.3,324.8,1.1,14.5,243.6,31.6,0.4
Lambeth - Brixton Hill,00AYGA,E05000417,16650,2650,16.0,1.1,14863.6,9.9,20.2,9214,75.3,420000.0,271,39050.0,6947,1.6,4.5,19.5,74.4,32.8,32.2,31.9,25.5,69.7,4.8,13.7,12.6,3.8,3.0,24.7,5.4,41.2,188.0,100.0,312.5,1.1,13.8,91.5,13.1,0.5
