Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
Croydon - Sanderstead,00AHGU,E05000160,13200,2250,17,6.3,2071.4,7.7,12.5,74.9,392500,47030,15.1,29.6,48.6,1.5
Croydon - Selhurst,00AHGW,E05000161,18550,4850,26.2,2.3,7978.3,14.6,27,64.7,212997.5,31220,18.9,95.9,18.3,0.6
Croydon - Selsdon and Ballards,00AHGX,E05000162,12200,1700,13.8,6.4,1882.8,8.8,15.4,76.4,344000,45320,15.2,35.5,55.2,1.5
Croydon - Shirley,00AHGY,E05000163,14700,2900,19.7,2.8,5214.3,9.1,20,72.3,320000,39500,19.1,44.1,16,1.2
Croydon - South Norwood,00AHGZ,E05000164,16900,3750,22.2,2.4,6979.2,11.6,23.4,68.7,240000,34430,15.9,80,17.5,0.7
Croydon - Thornton Heath,00AHHA,E05000165,16900,4300,25.4,1.7,9852.9,13.8,26.7,66.8,250000,33720,18.7,82,11.2,0.7
Croydon - Upper Norwood,00AHHB,E05000166,16600,3450,20.8,2.6,6307.7,10.5,23.7,69.7,289750,37430,16.6,70.8,19.4,0.9
Croydon - Waddon,00AHHC,E05000167,17650,4100,23.4,3.6,4847.2,11.1,19.9,69.9,243250,34630,19.1,74.3,32.7,0.8
Croydon - West Thornton,00AHHD,E05000168,18000,4550,25.4,2,8925,12.6,24.8,64.6,235000,32400,17.9,90.3,18.7,0.8
Croydon - Woodside,00AHHE,E05000169,17100,4200,24.7,2.2,7727.3,11.6,23.6,69,250000,33890,17.1,65,33.3,0.8
Ealing - Acton Central,00AJGC,E05000170,15850,3150,20,1.8,8750,11.1,19.4,69.4,570000,36500,14.3,77.9,24.2,0.7
Ealing - Cleveland,00AJGD,E05000171,14850,3200,21.7,2.2,6750,10,19.2,68.6,500000,41730,13.1,47.8,34.7,0.9
Ealing - Dormers Wells,00AJGE,E05000172,14150,3150,22.4,2.3,6152.2,14,23.4,61,265000,29350,23.5,54,47.3,1
Ealing - Ealing Broadway,00AJGF,E05000173,15550,2300,14.6,1.9,7868.4,6.2,15.1,75.1,459970,45540,7.3,145.7,6.1,0.8
Ealing - Ealing Common,00AJGG,E05000174,14200,2250,15.7,2.1,6809.5,9.9,21,74.6,536000,43600,10.8,68.9,22.2,0.9
Ealing - East Acton,00AJGH,E05000175,19800,3950,19.8,4.3,4523.3,11.1,26.1,68.3,390500,32930,15,103.7,19.6,0.7
Ealing - Elthorne,00AJGJ,E05000176,15100,3150,21,2,7450,11,22.6,73.1,408750,38970,15.1,77.5,34.2,0.8
Ealing - Greenford Broadway,00AJGK,E05000177,17750,4400,24.7,2.5,7120,13.7,23.6,66.4,249000,30500,21.9,81.2,26.2,0.9
Ealing - Greenford Green,00AJGL,E05000178,14500,3100,21.2,3.4,4264.7,9.1,24.5,72.6,307000,35420,17.8,74.8,22.6,1.1
Ealing - Hanger Hill,00AJGM,E05000179,15750,3000,19.1,3.3,4787.9,7.1,18.4,71.9,519000,44760,9.2,60.4,26.7,1
Ealing - Hobbayne,00AJGN,E05000180,14300,3250,22.5,2.2,6522.7,11.4,18.6,70.6,386250,36220,18.2,44.2,36.1,0.9
Ealing - Lady Margaret,00AJGP,E05000181,14100,2750,19.7,1.5,9433.3,12.9,23.6,66.6,285000,32520,19.8,46.2,19.4,1.3
Ealing - Northfield,00AJGQ,E05000182,13700,2700,19.6,1.5,9133.3,5.3,13.1,78.6,615000,48480,8.7,44.5,25.6,0.9
Ealing - North Greenford,00AJGR,E05000183,14900,3050,20.5,3.2,4656.3,8.8,24.8,72.3,345000,36480,16.9,51.8,53.3,1.2
Ealing - Northolt Mandeville,00AJGS,E05000184,15350,3600,23.4,2.8,5482.1,12.1,24.9,67.3,300000,31950,21.5,63.3,34.5,0.9
Ealing - Northolt West End,00AJGT,E05000185,15200,3950,26,3.5,4371.4,14.1,21.9,61.9,226111,28550,25.1,67.5,56.3,0.9
Ealing - Norwood Green,00AJGU,E05000186,14200,2950,20.8,3.8,3750,12.3,23.1,57.3,257500,29020,21.8,91.1,54.5,1.1
Ealing - Perivale,00AJGW,E05000187,15450,3200,20.6,3.4,4573.5,11.6,24.4,71.4,367500,36040,17.4,73.3,38.3,1.1
Ealing - South Acton,00AJGX,E05000188,16200,3350,20.6,1.7,9205.9,11.6,26.9,68.1,440000,34300,16.2,88.7,17.5,0.7
Ealing - Southall Broadway,00AJGY,E05000189,16200,3700,22.7,1.6,9343.8,14.8,23.3,59.1,250000,27930,23.8,107.9,14.1,0.9
Ealing - Southall Green,00AJGZ,E05000190,15200,3600,23.8,1.6,9406.3,14.3,24.7,59.7,243000,27150,23.6,83.9,16.3,0.9
Ealing - Southfield,00AJHA,E05000191,13600,2500,18.6,1.4,9714.3,7.4,18,77.6,780000,50170,9,64.5,14.3,0.8
Ealing - Walpole,00AJHB,E05000192,13500,2600,19.1,1.5,9033.3,7.8,18.5,77.3,612500,46240,10.2,73.8,20.1,0.8
Enfield - Bowes,00AKGL,E05000193,14550,2650,18.2,1.5,9733.3,9.3,21.1,71.9,319995,36300,16.7,50.8,15.3,0.8
Enfield - Bush Hill Park,00AKGM,E05000194,14150,2500,17.6,2.5,5720,10.8,22.4,73,360200,41800,20.4,53.9,29.6,1.3
Enfield - Chase,00AKGN,E05000195,14000,3150,22.3,16.9,834.3,12,24.4,69.5,324000,36350,22.4,55.8,81.5,1.1
Enfield - Cockfosters,00AKGP,E05000196,14100,2250,16.1,10.4,1370.2,9,20.6,66.9,472000,43570,19,46.4,68.8,1.3
Enfield - Edmonton Green,00AKGQ,E05000197,18350,4950,27.1,3.1,5951.6,17.6,30.1,53.8,210000,26010,30.5,117.7,33.2,0.6
Enfield - Enfield Highway,00AKGR,E05000198,16350,4050,24.9,4.6,3576.1,14.1,27,60.1,250000,29450,30.1,82.4,40.6,1
Enfield - Enfield Lock,00AKGS,E05000199,17000,4500,26.4,3.3,5166.7,16.3,26.7,62,217250,30240,26.5,69.2,39.6,0.9
Enfield - Grange,00AKGT,E05000200,13300,2300,17.3,3.3,4015.2,8.6,11.7,74.8,360000,45960,16.1,59.4,27.4,1.3
Enfield - Haselbury,00AKGU,E05000201,16500,4050,24.5,1.8,9277.8,14.5,26.9,59.3,260000,29600,27.2,61.1,27,0.8
Enfield - Highlands,00AKGW,E05000202,13550,2200,16.4,5.1,2647.1,8.9,19.4,72.9,375000,43540,18.7,40.4,56.4,1.2
Enfield - Jubilee,00AKGX,E05000203,14600,3500,24.1,3.9,3782.1,12.8,24.3,62.2,250000,30800,28.5,58.8,60.6,1
Enfield - Lower Edmonton,00AKGY,E05000204,16700,4700,28,2.2,7681.8,13.2,27.6,57.9,248000,28110,28.5,56.2,40.6,0.7
Enfield - Palmers Green,00AKGZ,E05000205,15650,2900,18.5,1.9,8263.2,11,22.5,70.2,353500,37970,20.6,70.3,15.4,1
Enfield - Ponders End,00AKHA,E05000206,17050,4400,25.7,3.5,4771.4,16.7,29.6,58,248000,28560,26.9,80.6,44.5,0.8
